vocab,property,endpointUrl
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#labelTemplate,http://lod.openlinksw.com/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,https://colil.dbcls.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,https://weakg.i3s.unice.fr/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#complementOf,https://www.bgee.org/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sameAs,http://demo.openlinksw.com/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedSource,http://utep.eagle-i.net/sparqler/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedTarget,http://alaska.eagle-i.net/sparqler/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://linguistic.linkeddata.es/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,https://knowledge.brc.riken.jp/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#scopeNote,https://ld.cultural.jp/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#definition,http://demo.openlinksw.com/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedProperty,http://demo.openlinksw.com/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,https://api.druid.datalegend.net/datasets/IISG/Labourconflicts/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#notation,https://api.druid.datalegend.net/datasets/dataLegend/Admissies-Haarlem/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyChainAxiom,https://libris.kb.se/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#allValuesFrom,https://es.dbpedia.org/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#member,https://cr.eionet.europa.eu/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#select,https://sparql.rhea-db.org/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,http://metadb.riken.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,https://ldf.fi/warsa/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,https://ruian.linked.opendata.cz/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,https://sparql.proconsortium.org/virtuoso/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentClass,https://www.thegazette.co.uk/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,https://opendata.aragon.es/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#prefLabel,https://api.druid.datalegend.net/datasets/AdamNet/Geography/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,http://linguistic.linkeddata.es/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#unionOf,http://tuskegee.eagle-i.net/sparqler/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#notation,https://data.cssz.cz/sparql
