vocab,elem,endpointUrl
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://dati.isprambiente.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://opendata.mfcr.cz/lod/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://lod.abes.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://data.mpsv.cz/sparql/
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://api.druid.datalegend.net/datasets/dataLegend/deaths-1910-1920/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://data.europa.eu/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://open.bydata.de/api/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://covidontheweb.inria.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://sparql.proconsortium.org/virtuoso/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://uriburner.com/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,http://libris.kb.se/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,https://data.europa.eu/euodp/sparqlep
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,https://opendata.mfcr.cz/lod/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,https://data.mpsv.cz/sparql/
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Role,https://lod.openlinksw.com/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://data.allie.dbcls.jp/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://taxref.mnhn.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Relationship,https://data.europa.eu/euodp/sparqlep
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,https://publications.europa.eu/webapi/rdf/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://webisa.webdatacommons.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://clara.univ-nantes.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://sparql.proconsortium.org/virtuoso/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://api.druid.datalegend.net/datasets/nlgis/cshapes/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://metadb.riken.jp/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://es.dbpedia.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://covidontheweb.inria.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://vocab.nerc.ac.uk/sparql/
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://clara.univ-nantes.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://ldf.fi/corresp/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://lod.sztaki.hu/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://query.wikidata.org/bigdata/namespace/dcatap/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,http://data.doremus.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://schema.gov.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://wasabi.inria.fr/sparql
